"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent,NewCases/1M pop,NewDeaths/1M pop,ActiveCases/1M pop
World,269468456,670265,5311895,8079,242267667,458385,21888894,89004,34570.0,681.5,39784181850,2566259451,47209145532,All,14.2,0.2,463.7
China,99517,63,4636,0,93659,31,1222,29,69.0,3.0,160000000,111163,1439323776,Asia,0.0,0.0,0.8
USA,50705257,136839,817343,1580,39951693,71601,9936221,14839,151902.0,2449.0,772474927,2314168,333802450,North America,409.9,4.7,29766.8
India,34682736,7992,475128,393,34105066,7678,102542,8944,24781.0,339.0,653376628,466841,1399568826,Asia,5.7,0.3,73.3
Brazil,22184824,7765,616733,229,21407699,0,160392,8318,103311.0,2872.0,63776166,296994,214738715,South America,36.2,1.1,746.9
UK,10717371,57596,146255,120,9414117,35952,1156999,900,156686.0,2138.0,374468898,5474658,68400424,Europe,842.0,1.8,16915.1
Russia,9956679,30873,287180,1176,8673518,35657,995981,2300,68185.0,1967.0,230400000,1577815,146024756,Europe,211.4,8.1,6820.6
Turkey,9002968,18561,78778,176,8568914,25129,355276,1128,105116.0,920.0,111213349,1298499,85647607,Asia,216.7,2.1,4148.1
France,8161124,55339,120318,150,7252376,0,788430,2461,124632.0,1837.0,170480237,2603471,65481904,Europe,845.1,2.3,12040.4
Germany,6463737,58969,105931,496,5329300,51000,1028506,4636,76793.0,1259.0,87852398,1043744,84170450,Europe,700.6,5.9,12219.3
Iran,6150843,2971,130603,79,5957017,6592,63223,3154,71904.0,1527.0,39846085,465803,85542756,Asia,34.7,0.9,739.1
Argentina,5354440,3573,116748,29,5211264,1931,26428,706,116925.0,2549.0,26619622,581293,45793842,South America,78.0,0.6,577.1
Spain,5290190,17012,88381,60,4943735,2139,258074,1056,113084.0,1889.0,66213858,1415403,46780909,Europe,363.7,1.3,5516.7
Italy,5185263,20490,134669,118,4787453,11777,263141,816,85943.0,2232.0,124925626,2070584,60333526,Europe,339.6,2.0,4361.4
Colombia,5089695,1687,129011,42,4930529,1644,30155,342,98514.0,2497.0,28559483,552783,51664885,South America,32.7,0.8,583.7
Indonesia,4258752,192,143923,5,4109675,311,5154,0,15336.0,518.0,57596611,207410,277694062,Asia,0.7,0.0,18.6
Mexico,3911714,3180,296186,293,3266965,2380,348563,4798,29886.0,2263.0,12024114,91867,130885987,North America,24.3,2.2,2663.1
Poland,3785034,24989,87928,571,3237017,25459,460089,2070,100168.0,2327.0,25430252,672993,37786794,Europe,661.3,15.1,12175.9
Ukraine,3543684,11327,90343,442,3158426,24456,294915,177,81737.0,2084.0,16234638,374462,43354523,Europe,261.3,10.2,6802.4
South Africa,3112469,19017,90080,20,2878855,8526,143534,546,51542.0,1492.0,20071560,332384,60386682,Africa,314.9,0.3,2376.9
