"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
World,"269,468,456","+670,265","5,311,895","+8,079","242,267,667","+458,385","21,888,894","89,004","34,570",681.5,,,,All
China,"99,517",+63,"4,636 ",,"93,659",+31,"1,222",29,69,3,"160,000,000","111,163","1,439,323,776 ",Asia
USA,"50,705,257","+136,839","817,343 ","+1,580","39,951,693","+71,601","9,936,221","14,839","151,902","2,449","772,474,927","2,314,168","333,802,450 ",North America
India,"34,682,736","+7,992","475,128 ",+393,"34,105,066","+7,678","102,542","8,944","24,781",339,"653,376,628","466,841","1,399,568,826 ",Asia
Brazil,"22,184,824","+7,765","616,733 ",+229,"21,407,699",,"160,392","8,318","103,311","2,872","63,776,166","296,994","214,738,715 ",South America
UK,"10,717,371","+57,596","146,255  ",+120,"9,414,117","+35,952","1,156,999",900,"156,686","2,138","374,468,898","5,474,658","68,400,424 ",Europe
Russia,"9,956,679","+30,873","287,180 ","+1,176","8,673,518","+35,657","995,981","2,300","68,185","1,967","230,400,000","1,577,815","146,024,756 ",Europe
Turkey,"9,002,968","+18,561","78,778 ",+176,"8,568,914","+25,129","355,276","1,128","105,116",920,"111,213,349","1,298,499","85,647,607 ",Asia
France,"8,161,124","+55,339","120,318 ",+150,"7,252,376",,"788,430","2,461","124,632","1,837","170,480,237","2,603,471","65,481,904 ",Europe
Germany,"6,463,737","+58,969","105,931 ",+496,"5,329,300","+51,000","1,028,506","4,636","76,793","1,259","87,852,398","1,043,744","84,170,450 ",Europe
Iran,"6,150,843","+2,971","130,603 ",+79,"5,957,017","+6,592","63,223","3,154","71,904","1,527","39,846,085","465,803","85,542,756 ",Asia
Argentina,"5,354,440","+3,573","116,748 ",+29,"5,211,264","+1,931","26,428",706,"116,925","2,549","26,619,622","581,293","45,793,842 ",South America
Spain,"5,290,190","+17,012","88,381 ",+60,"4,943,735","+2,139","258,074","1,056","113,084","1,889","66,213,858","1,415,403","46,780,909 ",Europe
