"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
World,"443,752,436","+1,651,204","6,009,417","+8,084","376,768,976","+1,755,928","60,974,043","71,862","56,929",771.0,,,,All
China,"110,258",+294,"4,636 ",,"102,318",+84,"3,304",18,77,3,"160,000,000","111,163","1,439,323,776 ",Asia
USA,"80,896,406","+46,453","983,509 ","+1,477","54,430,881","+207,970","25,482,016","6,693","242,026","2,942","955,947,969","2,860,004","334,247,090 ",North America
India,"42,957,477","+5,921","514,908 ",+288,"42,378,721","+11,651","63,848","8,944","30,625",367,"770,973,356","549,643","1,402,680,212 ",Asia
Brazil,"28,974,315","+68,101","651,343 ",+697,"26,909,481","+99,195","1,413,491","8,318","134,711","3,028","63,776,166","296,516","215,084,963 ",South America
France,"22,958,320","+57,789","139,123 ",+181,"21,483,323","+118,431","1,335,874","2,484","350,429","2,124","246,629,975","3,764,483","65,514,958 ",Europe
UK,"19,119,181","+44,740","162,008 ",+110,"17,537,214",,"1,419,959",264,"279,185","2,366","485,037,295","7,082,687","68,482,101 ",Europe
Russia,"16,775,024","+89,174","354,787 ",+776,"14,263,191","+160,507","2,157,046","2,300","114,867","2,429","273,400,000","1,872,102","146,039,069 ",Europe
Germany,"15,579,480","+203,972","124,517 ",+252,"11,898,500","+201,900","3,556,463","2,494","184,960","1,478","104,701,826","1,243,021","84,231,776 ",Europe
Turkey,"14,293,828","+38,283","95,205 ",+180,"13,636,181","+63,311","562,442","1,011","166,487","1,109","145,385,769","1,693,372","85,855,776 ",Asia
Italy,"12,950,260","+39,496","155,609 ",+210,"11,769,463","+55,818","1,025,188",625,"214,717","2,580","189,102,673","3,135,345","60,313,202 ",Europe
Spain,"11,100,428","+22,400","100,431 ",+192,"9,861,014","+60,505","1,138,983",851,"237,264","2,147","471,036,328","10,068,095","46,785,052 ",Europe
Argentina,"8,929,898","+8,362","126,624 ",+93,"8,720,016","+14,838","83,258","1,035","194,598","2,759","34,433,802","750,373","45,888,932 ",South America
Iran,"7,080,217","+6,470","137,593 ",+154,"6,709,131","+12,637","233,493","4,056","82,530","1,604","47,647,542","555,401","85,789,486 ",Asia
Netherlands,"6,573,195","+68,309","21,599 ",+10,"4,729,179","+76,057","1,822,417",147,"382,201","1,256","21,107,399","1,227,299","17,198,250 ",Europe
Colombia,"6,069,425","+1,351","138,984 ",+45,"5,897,583","+1,703","32,858",342,"117,195","2,684","33,310,231","643,188","51,789,284 ",South America
Poland,"5,721,304","+12,471","112,336 ",+206,"5,110,017","+10,502","498,951",656,"151,448","2,974","33,955,578","898,835","37,777,317 ",Europe
Indonesia,"5,693,702","+26,347","149,596 ",+328,"5,026,853","+40,462","517,253","2,911","20,455",537,"86,417,138","310,454","278,357,473 ",Asia
Mexico,"5,544,644","+10,558","319,296 ",+461,"4,821,403","+11,604","403,945","4,798","42,262","2,434","15,171,873","115,642","131,196,689 ",North America
Japan,"5,210,263","+70,958","24,349 ",+257,"4,499,479","+79,653","686,435","1,419","41,407",194,"39,532,650","314,177","125,829,212 ",Asia
Ukraine,"4,809,624",,"105,505 ",,"4,058,020",,"646,099",177,"111,091","2,437","19,521,252","450,894","43,294,540 ",Europe
Vietnam,"4,100,703","+126,870","40,644 ",+97,"2,589,436","+38,911","1,470,623","3,418","41,504",411,"79,863,303","808,313","98,802,388 ",Asia
S. Korea,"3,958,326","+266,838","8,580 ",+186,"969,524",,"2,980,222",797,"77,096",167,"15,804,065","307,814","51,342,944 ",Asia
South Africa,"3,681,437","+1,898","99,517 ",+18,"3,557,369","+3,087","24,551",546,"60,792","1,643","23,196,880","383,050","60,558,288 ",Africa
Philippines,"3,665,737",+843,"56,770 ",+232,"3,558,641",+956,"50,326",296,"32,724",507,"28,203,435","251,775","112,018,293 ",Asia
Israel,"3,662,071","+8,463","10,264 ",+25,"3,585,292",,"66,515",510,"392,673","1,101","41,373,364","4,436,346","9,326,000 ",Asia
Czechia,"3,616,694","+8,075","38,884 ",+38,"3,491,400","+17,164","86,410",176,"336,681","3,620","52,779,959","4,913,332","10,742,192 ",Europe
Belgium,"3,578,738","+7,159","30,244 ",+27,"3,153,984","+28,944","394,510",224,"306,558","2,591","31,831,104","2,726,681","11,673,937 ",Europe
Malaysia,"3,561,766","+33,209","33,106 ",+78,"3,223,650","+26,352","305,010",348,"107,740","1,001","50,429,187","1,525,431","33,058,975 ",Asia
Peru,"3,524,504","+2,020","210,995 ",+88,N/A,N/A,N/A,837,"104,463","6,254","27,557,825","816,786","33,739,343 ",South America
Australia,"3,321,716","+24,511","5,355 ",+38,"3,101,681","+20,132","214,680",112,"127,786",206,"63,873,799","2,457,220","25,994,332 ",Australia/Oceania
Canada,"3,317,311","+6,926","36,905 ",+62,"3,166,195","+4,222","114,211",600,"86,625",964,"58,355,310","1,523,827","38,295,243 ",North America
Portugal,"3,308,438","+13,747","21,162 ",+21,"2,805,955","+6,424","481,321",84,"326,051","2,086","37,805,639","3,725,792","10,147,007 ",Europe
Chile,"3,147,434","+23,132","42,809 ",+126,"2,180,125","+31,104","924,500","1,096","162,319","2,208","33,336,422","1,719,217","19,390,464 ",South America
Thailand,"2,981,996","+23,834","23,127 ",+54,"2,731,029","+19,351","227,840",687,"42,544",330,"17,270,775","246,399","70,092,762 ",Asia
