"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population,Continent
World,"267,406,630","+30,080","5,286,829",+486,"240,840,834","+86,122","21,278,967","87,967","34,306",678.3,,,,All
USA,"50,270,136",,"812,205 ",,"39,742,867",,"9,715,064","14,377","150,608","2,433","766,393,274","2,296,094","333,781,277 ",North America
India,"34,656,822",,"473,952 ",,"34,089,137","+9,525","93,733","8,944","24,765",339,"650,660,144","464,950","1,399,420,665 ",Asia
Brazil,"22,157,726",,"616,067 ",,"21,386,271",,"155,388","8,318","103,193","2,869","63,776,166","297,017","214,722,227 ",South America
UK,"10,560,341",,"145,826 ",,"9,300,698",,"1,113,817",901,"154,399","2,132","370,541,215","5,417,544","68,396,535 ",Europe
Russia,"9,864,845",,"283,644 ",,"8,565,091",,"1,016,110","2,300","67,556","1,942","228,800,000","1,566,865","146,024,075 ",Europe
Turkey,"8,943,837",,"78,215 ",,"8,486,689",,"378,933","1,128","104,438",913,"110,159,341","1,286,342","85,637,694 ",Asia
France,"7,987,591",,"119,899 ",,"7,211,059",,"656,633","2,351","121,985","1,831","170,480,237","2,603,534","65,480,330 ",Europe
Germany,"6,270,761",,"104,361 ",,"5,225,700","+55,300","940,700","4,636","74,503","1,240","85,782,441","1,019,187","84,167,530 ",Europe
Iran,"6,141,335",,"130,356 ",,"5,936,975",,"74,004","3,213","71,802","1,524","39,415,479","460,833","85,531,007 ",Asia
Argentina,"5,346,242",,"116,703 ",,"5,205,534",,"24,005",687,"116,757","2,549","26,501,999","578,781","45,789,314 ",South America
Spain,"5,246,766",,"88,237 ",,"4,937,402",,"221,127",814,"112,157","1,886","66,213,858","1,415,409","46,780,712 ",Europe
Italy,"5,134,318",,"134,386 ",,"4,759,038",,"240,894",776,"85,098","2,227","123,331,813","2,044,134","60,334,494 ",Europe
Colombia,"5,084,466",,"128,874 ",,"4,925,444",,"30,148",342,"98,424","2,495","28,431,055","550,361","51,658,961 ",South America
Indonesia,"4,258,076",,"143,893 ",,"4,108,717",,"5,466",,"15,335",518,"56,549,237","203,662","277,662,471 ",Asia
Mexico,"3,905,319","+3,304","295,601 ",+289,"3,262,422","+2,338","347,296","4,798","29,841","2,259","11,976,549","91,514","130,871,191 ",North America
Poland,"3,704,040",,"86,205 ",,"3,184,676",,"433,159","2,036","98,024","2,281","25,095,931","664,138","37,787,245 ",Europe
Ukraine,"3,510,610",,"88,986 ",,"3,082,619",,"339,005",177,"80,969","2,052","16,119,721","371,787","43,357,380 ",Europe
South Africa,"3,051,222",,"90,002 ",,"2,864,648",,"96,572",546,"50,535","1,491","19,838,883","328,575","60,378,511 ",Africa
Philippines,"2,835,345",,"49,591 ",,"2,772,728",,"13,026",899,"25,391",444,"24,390,103","218,417","111,667,580 ",Asia
Netherlands,"2,790,830",,"19,770 ",,"2,181,240",,"589,820",620,"162,360","1,150","19,205,114","1,117,280","17,189,161 ",Europe
Malaysia,"2,667,999",,"30,718 ",,"2,576,870",,"60,411",437,"80,948",932,"38,569,695","1,170,223","32,959,271 ",Asia
Czechia,"2,262,666",,"33,902 ",,"1,942,950",,"285,814","1,009","210,727","3,157","44,927,649","4,184,209","10,737,430 ",Europe
Peru,"2,246,633",,"201,450 ",,N/A,N/A,N/A,997,"66,807","5,990","20,623,407","613,265","33,628,881 ",South America
Thailand,"2,152,384","+3,618","21,033 ",+38,"2,067,149","+5,775","64,202","1,369","30,726",300,"14,913,135","212,890","70,050,769 ",Asia
Iraq,"2,085,586",,"23,919 ",,"2,051,912",,"9,755",85,"50,240",576,"16,469,999","396,749","41,512,393 ",Asia
Belgium,"1,879,784","+10,878","27,360 ",+41,"1,395,359","+8,063","457,065",817,"161,191","2,346","25,457,760","2,182,997","11,661,837 ",Europe
Canada,"1,815,215",,"29,827 ",,"1,756,185",,"29,203",497,"47,499",780,"49,518,440","1,295,759","38,215,765 ",North America
Romania,"1,788,260",,"57,260 ",,"1,705,896",,"25,104",834,"93,853","3,005","16,234,994","852,059","19,053,849 ",Europe
Chile,"1,775,212",,"38,535 ",,"1,670,654",,"66,023",698,"91,737","1,991","26,051,962","1,346,281","19,351,055 ",South America
Japan,"1,728,113",+98,"18,367 ",+2,"1,708,924",+105,822,27,"13,724",146,"28,257,592","224,406","125,921,894 ",Asia
Bangladesh,"1,578,011",,"28,010 ",,"1,542,908",,"7,093","1,539","9,447",168,"11,020,857","65,978","167,037,400 ",Asia
Israel,"1,347,474",,"8,210 ",,"1,333,483",,"5,781",106,"144,486",880,"35,400,109","3,795,851","9,326,000 ",Asia
Vietnam,"1,337,523",,"26,700 ",,"1,011,656",,"299,167","7,019","13,566",271,"70,146,808","711,486","98,592,025 ",Asia
Pakistan,"1,287,703",+310,"28,793 ",+9,"1,247,066",+283,"11,844",783,"5,672",127,"22,338,650","98,398","227,024,140 ",Asia
Serbia,"1,267,112",,"11,995 ",,"1,216,373",,"38,744",180,"145,864","1,381","6,911,480","795,615","8,686,960 ",Europe
Sweden,"1,219,557",,"15,144  ",,"1,163,524",,"40,889",50,"119,689","1,486","13,934,770","1,367,574","10,189,412 ",Europe
Austria,"1,207,336",,"12,921 ",,"1,098,287",,"96,128",670,"132,967","1,423","113,295,295","12,477,505","9,079,964 ",Europe
Portugal,"1,172,420",,"18,572 ",,"1,093,264",,"60,584",133,"115,462","1,829","21,858,506","2,152,673","10,154,125 ",Europe
Hungary,"1,161,879",,"35,835 ",,"938,836",,"187,208",618,"120,712","3,723","8,679,620","901,758","9,625,218 ",Europe
Switzerland,"1,073,333",,"11,690 ",,"878,170",,"183,473",234,"122,734","1,337","12,815,047","1,465,378","8,745,217 ",Europe
Jordan,"988,159",,"11,817 ",,"911,905",,"64,437","1,190","95,492","1,142","12,511,426","1,209,057","10,348,087 ",Asia
Greece,"978,402",,"18,815 ",,"889,506",,"70,081",697,"94,530","1,818","38,884,429","3,756,904","10,350,125 ",Europe
Kazakhstan,"977,031",+704,"12,802 ",+11,"944,485","+1,244","19,744",528,"51,159",670,"11,575,012","606,083","19,098,054 ",Asia
Cuba,"963,269",,"8,311 ",,"954,427",,531,18,"85,119",734,"11,232,726","992,578","11,316,715 ",North America
Morocco,"950,801",,"14,788 ",,"933,416",,"2,597",347,"25,330",394,"10,516,973","280,180","37,536,525 ",Africa
Georgia,"871,580",,"12,466 ",,"813,872",,"45,242",,"219,089","3,134","11,879,804","2,986,226","3,978,200 ",Asia
Nepal,"823,102",,"11,545 ",,"805,205",,"6,352",114,"27,541",386,"4,679,180","156,567","29,886,126 ",Asia
UAE,"742,438",,"2,149 ",,"737,481",,"2,808",,"73,791",214,"103,192,728","10,256,325","10,061,375 ",Asia
Slovakia,"739,544",,"15,004 ",,"606,419",,"118,121",629,"135,363","2,746","4,757,235","870,742","5,463,429 ",Europe
Tunisia,"718,696",,"25,407 ",,"691,923",,"1,366",53,"59,913","2,118","3,207,178","267,363","11,995,584 ",Africa
Bulgaria,"707,885",,"29,163 ",,"579,059",,"99,663",627,"102,987","4,243","6,767,295","984,547","6,873,511 ",Europe
Lebanon,"681,332",,"8,795 ",,"637,834",,"34,703",186,"100,467","1,297","4,795,578","707,139","6,781,663 ",Asia
Belarus,"666,137",,"5,193 ",,"655,001",,"5,943",,"70,529",550,"10,545,014","1,116,480","9,444,872 ",Europe
Croatia,"635,027",,"11,329 ",,"598,591",,"25,107",319,"156,065","2,784","3,522,521","865,697","4,069,001 ",Europe
Guatemala,"620,435",,"15,999 ",,"603,346",,"1,090",5,"33,739",870,"3,158,756","171,770","18,389,401 ",North America
Ireland,"602,726",,"5,707 ",,"465,420",,"131,599",117,"120,144","1,138","9,178,076","1,829,501","5,016,709 ",Europe
Azerbaijan,"598,503",,"8,004 ",,"567,385",,"23,114",,"58,277",779,"5,621,021","547,326","10,269,971 ",Asia
Sri Lanka,"569,171",,"14,505 ",,"543,111",,"11,555",,"26,422",673,"5,695,096","264,374","21,541,794 ",Asia
Costa Rica,"567,706",,"7,324 ",,"556,781",,"3,601",73,"110,006","1,419","2,715,029","526,098","5,160,692 ",North America
Saudi Arabia,"549,997",,"8,847 ",,"539,141",,"2,009",33,"15,454",249,"31,787,409","893,173","35,589,310 ",Asia
Bolivia,"546,155","+1,489","19,264 ",+17,"499,564",+782,"27,327",220,"45,892","1,619","2,593,083","217,891","11,900,803 ",South America
Ecuador,"529,456",,"33,488 ",,"443,880",,"52,088",759,"29,371","1,858","2,047,260","113,571","18,026,241 ",South America
Myanmar,"524,638",,"19,146 ",,"500,701",,"4,791",,"9,551",349,"5,698,201","103,732","54,931,930 ",Asia
Denmark,"522,581",,"2,965 ",,"455,036",,"64,580",66,"89,769",509,"96,468,781","16,571,386","5,821,407 ",Europe
S. Korea,"489,484","+7,174","4,020 ",+63,"413,740","+2,382","71,724",840,"9,536",78,"15,804,065","307,877","51,332,370 ",Asia
Lithuania,"482,458",,"6,886 ",,"448,030",,"27,542",128,"180,841","2,581","6,263,951","2,347,930","2,667,861 ",Europe
Panama,"479,563",,"7,379 ",,"469,189",,"2,995",20,"108,697","1,673","4,281,343","970,406","4,411,910 ",North America
Paraguay,"463,479",,"16,484 ",,"446,304",,691,55,"63,859","2,271","1,967,048","271,022","7,257,889 ",South America
Venezuela,"435,825",,"5,208 ",,"423,293",,"7,324",681,"15,389",184,"3,359,014","118,607","28,320,539 ",South America
Slovenia,"432,793",,"5,336 ",,"400,172",,"27,285",267,"208,139","2,566","1,970,969","947,879","2,079,347 ",Europe
Palestine,"432,602",,"4,555 ",,"424,419",,"3,628",58,"82,074",864,"2,765,962","524,763","5,270,874 ",Asia
Kuwait,"413,555",,"2,465 ",,"410,768",,322,3,"94,832",565,"5,476,384","1,255,790","4,360,909 ",Asia
Dominican Republic,"409,002",,"4,212 ",,"403,257",,"1,533",154,"37,170",383,"2,486,340","225,957","11,003,584 ",North America
Uruguay,"401,340",,"6,137 ",,"393,099",,"2,104",17,"114,965","1,758","4,167,966","1,193,929","3,490,967 ",South America
Mongolia,"384,288",+310,"2,023 ",+3,"313,256",,"69,009",192,"114,583",603,"4,030,048","1,201,639","3,353,792 ",Asia
Honduras,"378,397",+46,"10,416 ",,"122,374",+172,"245,607",52,"37,354","1,028","1,124,574","111,015","10,129,903 ",North America
Libya,"375,869",,"5,514 ",,"358,294",,"12,061",,"53,658",787,"1,934,244","276,125","7,004,957 ",Africa
Ethiopia,"372,462",,"6,808 ",,"349,846",,"15,808",192,"3,129",57,"3,908,170","32,833","119,032,081 ",Africa
Moldova,"367,339",,"9,270 ",,"351,581",,"6,488",234,"91,366","2,306","2,241,776","557,582","4,020,535 ",Europe
Egypt,"364,922",,"20,821 ",,"303,368",,"40,733",90,"3,472",198,"3,693,367","35,143","105,093,906 ",Africa
Armenia,"341,058",,"7,718 ",,"322,406",,"10,934",,"114,789","2,598","2,411,285","811,560","2,971,174 ",Asia
Oman,"304,631",,"4,113 ",,"300,050",,468,1,"57,563",777,"25,000,000","4,723,965","5,292,165 ",Asia
Norway,"294,754",,"1,096 ",,"88,952",,"204,706",90,"53,768",200,"8,744,427","1,595,141","5,481,916 ",Europe
Bosnia and Herzegovina,"279,179",,"12,814 ",,"192,218",,"74,147",,"85,859","3,941","1,417,356","435,897","3,251,585 ",Europe
Bahrain,"277,894",,"1,394 ",,"276,165",,335,1,"155,597",781,"7,530,988","4,216,726","1,785,980 ",Asia
Singapore,"270,588",,771 ,,"261,638",,"8,179",43,"45,737",130,"21,098,774","3,566,272","5,916,198 ",Asia
Latvia,"258,419",,"4,300 ",,"243,751",,"10,368",127,"139,210","2,316","5,400,415","2,909,206","1,856,319 ",Europe
Kenya,"255,544",,"5,337 ",,"248,452",,"1,755",2,"4,607",96,"2,863,425","51,627","55,464,057 ",Africa
Qatar,"244,545",,611 ,,"241,679",,"2,255",11,"87,095",218,"3,033,105","1,080,241","2,807,805 ",Asia
Estonia,"225,837",,"1,826 ",,"209,180",,"14,831",29,"170,082","1,375","2,371,887","1,786,311","1,327,813 ",Europe
Australia,"222,260","+1,701","2,072 ",+7,"202,159",,"18,029",78,"8,574",80,"49,250,521","1,899,861","25,923,219 ",Australia/Oceania
North Macedonia,"217,775",,"7,674 ",,"204,474",,"5,627",,"104,536","3,684","1,488,688","714,598","2,083,252 ",Europe
Nigeria,"214,896",,"2,980 ",,"207,495",,"4,421",11,"1,007",14,"3,580,510","16,775","213,439,149 ",Africa
Algeria,"211,859",,"6,114 ",,"145,511",,"60,234",20,"4,710",136,"230,861","5,132","44,983,240 ",Africa
Zambia,"210,374",,"3,668 ",,"206,489",,217,6,"11,003",192,"2,752,397","143,959","19,119,260 ",Africa
Albania,"202,295",,"3,122 ",,"192,967",,"6,206",23,"70,405","1,087","1,409,310","490,485","2,873,297 ",Europe
Finland,"196,180",,"1,384 ",,"46,000",,"148,796",51,"35,328",249,"8,043,647","1,448,511","5,553,045 ",Europe
Botswana,"195,552",,"2,420 ",,"192,452",,680,1,"80,823","1,000","1,905,739","787,658","2,419,501 ",Africa
Uzbekistan,"194,904",+201,"1,425 ",+1,"191,602",+325,"1,877",23,"5,705",42,"1,377,915","40,334","34,163,034 ",Asia
Kyrgyzstan,"183,744",+32,"2,762 ",,"178,777",+67,"2,205",131,"27,514",414,"1,856,320","277,970","6,678,128 ",Asia
Montenegro,"158,838",,"2,334 ",,"154,495",,"2,009",60,"252,854","3,715","920,043","1,464,617","628,180 ",Europe
Afghanistan,"157,508",,"7,317 ",,"140,911",,"9,280","1,124","3,920",182,"798,660","19,876","40,181,243 ",Asia
Mozambique,"152,120",,"1,941 ",,"149,575",,604,8,"4,680",60,"989,429","30,438","32,506,041 ",Africa
Zimbabwe,"145,632",,"4,718 ",,"129,006",,"11,908",12,"9,598",311,"1,643,376","108,313","15,172,407 ",Africa
Cyprus,"138,157",,602 ,,"124,370",,"13,185",45,"113,249",493,"9,477,138","7,768,528","1,219,940 ",Asia
Ghana,"131,246",,"1,228 ",,"129,326",,692,5,"4,101",38,"1,933,408","60,419","32,000,049 ",Africa
Namibia,"130,051",,"3,574 ",,"125,540",,937,1,"49,891","1,371","803,205","308,131","2,606,699 ",Africa
Uganda,"127,708",,"3,258 ",,"97,689",,"26,761",100,"2,672",68,"1,994,268","41,718","47,803,211 ",Africa
Cambodia,"120,300",+14,"2,971 ",+4,"116,655",+13,674,,"7,056",174,"2,725,832","159,873","17,049,958 ",Asia
El Salvador,"119,803",,"3,789 ",,"102,982",,"13,032",246,"18,338",580,"1,440,742","220,531","6,533,059 ",North America
Cameroon,"107,148",,"1,804 ",,"102,716",,"2,628",152,"3,898",66,"1,751,774","63,724","27,489,925 ",Africa
Rwanda,"100,449",,"1,343 ",,"45,522",,"53,584",,"7,490",100,"3,578,143","266,808","13,410,933 ",Africa
Maldives,"92,501",,255 ,,"90,401",,"1,845",23,"166,922",460,"1,778,702","3,209,744","554,157 ",Asia
Luxembourg,"91,908",,888 ,,"85,792",,"5,228",23,"143,485","1,386","3,718,438","5,805,143","640,542 ",Europe
Jamaica,"91,554",,"2,411 ",,"63,223",,"25,920",9,"30,726",809,"678,695","227,775","2,979,671 ",North America
Laos,"82,082",,214 ,,"7,339",,"74,529",,"11,052",29,"826,504","111,290","7,426,575 ",Asia
Trinidad and Tobago,"76,601",,"2,303 ",,"61,396",,"12,902",22,"54,482","1,638","459,629","326,911","1,405,977 ",North America
Senegal,"74,036",,"1,886 ",,"72,112",,38,1,"4,261",109,"882,972","50,821","17,374,215 ",Africa
Angola,"65,301",,"1,735 ",,"63,351",,215,3,"1,902",51,"1,192,540","34,742","34,325,856 ",Africa
Réunion,"63,863",,391 ,,"59,685",,"3,787",34,"70,609",432,"1,347,378","1,489,708","904,458 ",Africa
Malawi,"62,015",,"2,307 ",,"58,826",,882,67,"3,126",116,"447,285","22,549","19,836,111 ",Africa
Ivory Coast,"61,844",,706 ,,"60,890",,248,,"2,264",26,"1,164,056","42,621","27,311,513 ",Africa
DRC,"58,858",,"1,113 ",,"50,930",,"6,815",,630,12,"306,299","3,278","93,449,004 ",Africa
Guadeloupe,"55,284",,748 ,,"2,250",,"52,286",23,"138,133","1,869","551,264","1,377,396","400,222 ",North America
Fiji,"52,562",,697 ,,"51,125",,740,,"58,032",770,"463,157","511,356","905,743 ",Australia/Oceania
Suriname,"51,083",+31,"1,175 ",+1,"29,583",+6,"20,325",10,"85,976","1,978","162,191","272,978","594,155 ",South America
Syria,"48,801",,"2,788 ",,"29,965",,"16,048",,"2,695",154,"113,162","6,249","18,108,084 ",Asia
Eswatini,"48,358",,"1,248 ",,"45,284",,"1,826",11,"41,073","1,060","396,427","336,710","1,177,354 ",Africa
French Polynesia,"46,324",,636 ,,N/A,N/A,N/A,7,"163,554","2,246",,,"283,233 ",Australia/Oceania
French Guiana,"46,261",,329 ,,"11,254",,"34,678",8,"149,354","1,062","459,368","1,483,071","309,741 ",South America
Martinique,"45,501",,718 ,,104,,"44,679",1,"121,385","1,915","416,247","1,110,442","374,848 ",North America
Madagascar,"44,800",,972 ,,"43,119",,709,22,"1,561",34,"290,447","10,117","28,707,975 ",Africa
Sudan,"44,170",,"3,200 ",,"35,786",,"5,184",,975,71,"238,579","5,265","45,312,234 ",Africa
Malta,"40,101",,468 ,,"37,884",,"1,749",3,"90,475","1,056","1,211,456","2,733,263","443,227 ",Europe
Mauritania,"39,621",,844 ,,"38,058",,719,15,"8,213",175,"517,995","107,373","4,824,240 ",Africa
Cabo Verde,"38,460",,351 ,,"37,984",,125,23,"68,116",622,"211,166","373,991","564,628 ",Africa
